date,id,daily_budget,spend,impressions,clicks,installs,gross_revenue_iap_cohort,net_revenue_iap_cohort,purchases_cohort,purchasers_cohort,ad_revenue_cohort,net_revenue_cohort,net_revenue_d0,net_revenue_d1,net_revenue_d2,net_revenue_d3,net_revenue_d4,net_revenue_d5,net_revenue_d6,net_revenue_d7,net_revenue_d8,net_revenue_d9,net_revenue_d10,net_revenue_d11,net_revenue_d12,net_revenue_d13,net_revenue_d14,net_revenue_d15,net_revenue_d16,net_revenue_d17,net_revenue_d18,net_revenue_d19,net_revenue_d20,net_revenue_d21,net_revenue_d22,net_revenue_d23,net_revenue_d24,net_revenue_d25,net_revenue_d26,net_revenue_d27,net_revenue_d28,net_revenue_d56,net_revenue_d84,net_revenue_d112,net_revenue_d196,net_revenue_d280,net_revenue_d364,purchases_d0,purchases_d1,purchases_d2,purchases_d3,purchases_d4,purchases_d5,purchases_d6,purchases_d7,purchases_d8,purchases_d9,purchases_d10,purchases_d11,purchases_d12,purchases_d13,purchases_d14,purchases_d15,purchases_d16,purchases_d17,purchases_d18,purchases_d19,purchases_d20,purchases_d21,purchases_d22,purchases_d23,purchases_d24,purchases_d25,purchases_d26,purchases_d27,purchases_d28,purchases_d56,purchases_d84,purchases_d112,purchases_d196,purchases_d280,purchases_d364,purchasers_d0,purchasers_d1,purchasers_d2,purchasers_d3,purchasers_d4,purchasers_d5,purchasers_d6,purchasers_d7,purchasers_d8,purchasers_d9,purchasers_d10,purchasers_d11,purchasers_d12,purchasers_d13,purchasers_d14,purchasers_d15,purchasers_d16,purchasers_d17,purchasers_d18,purchasers_d19,purchasers_d20,purchasers_d21,purchasers_d22,purchasers_d23,purchasers_d24,purchasers_d25,purchasers_d26,purchasers_d27,purchasers_d28,purchasers_d56,purchasers_d84,purchasers_d112,purchasers_d280,purchasers_d364
2020-05-02,89704676509703517,11822,127.25,19160,153,94,129.69,90.8638,31,9,69.6639,160.5277,24.8736,31.9587,37.9754,44.5141,61.4025,63.6061,74.9245,76.9741,78.754,83.5614,84.6116,86.7325,92.1826,94.6069,96.1541,97.6517,98.9777,104.0362,106.1735,108.1471,113.4787,114.8397,116.5093,117.9363,118.8875,119.5116,120.3622,120.8496,121.4001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,8.0,10.0,10.0,16.0,16.0,16.0,17.0,17.0,18.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,89705461021313517,2424,22.72,3113,5,7,21.97,15.1492,3,2,0.6769,15.8261,1.3532,8.5756,15.6114,15.7885,15.7885,15.7885,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,15.8261,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
2019-11-02,89708853318503517,17500,168.08,14479,247,176,478.36,335.139,64,20,96.5699,431.7089,88.0485,121.8479,129.2713,147.4249,156.4614,175.004,193.6788,208.1635,210.7546,212.4505,214.7416,217.1559,219.9294,229.5623,231.2537,233.5714,235.3567,236.6756,238.2701,247.0373,247.8141,248.6367,250.6641,251.8556,253.0583,260.9892,262.4888,267.5056,268.9626,319.7997,363.5373,363.7491,382.1287,0.0,3.5745,17.0,25.0,27.0,30.0,32.0,36.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0,53.0,55.0,55.0,57.0,0.0,1.0,8.0,11.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,1.0
2019-10-07,89704469509703517,1577,15.91,2615,36,26,0.99,0.5775,1,1,11.6372,12.2146,0.4651,0.4872,0.4872,0.8297,2.1352,2.7929,3.8408,4.4004,4.8511,5.5399,5.9779,6.4622,6.9603,7.5453,8.1216,8.3726,8.6787,8.759,8.8558,9.0746,9.0746,9.2196,9.29,9.4056,9.5983,9.6821,9.8948,9.8948,9.8948,10.1935,10.2823,10.2823,10.2823,0.0212,0.0212,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-05-03,89704469509703517,6987,66.32,17408,148,70,33.91,19.8052,15,5,13.2654,33.0705,33.8357,14.2392,18.166,18.8409,22.5837,22.9204,26.4923,27.1977,27.4234,27.6473,27.8494,28.1364,28.2216,28.2216,28.3446,28.3446,28.3446,28.3446,28.3446,28.3446,28.3446,28.3705,28.3705,28.3705,28.5097,28.5097,28.5097,26.6923,26.6923,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,89704469509703517,12500,111.34,22669,233,134,219.75,128.9189,25,12,39.2671,168.186,31.0952,62.0443,64.1808,75.715,93.9704,101.5169,114.4127,121.5298,134.5923,135.6153,136.3054,136.9519,143.427,143.7468,146.8079,147.2241,147.7051,151.7157,152.0318,152.4051,152.7013,153.0314,153.4404,153.6135,153.9145,154.3122,154.8621,154.9664,154.9896,0.0,0.0,0.0642,0.1139,0.0694,0.0,6.0,11.0,11.0,14.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,89701676509703517,8321,80.55,8839,119,49,421.8,295.5131,20,7,15.4008,310.9139,24.1081,31.7085,35.8355,36.5293,36.6128,107.0523,107.4831,107.7801,108.2873,115.7533,115.9134,116.2759,221.5854,221.7396,222.1263,222.324,222.7033,223.0507,223.5223,223.6818,223.73,223.756,223.8827,223.907,223.9508,224.0167,259.0624,259.129,259.2889,259.7403,259.7403,0.0,0.0,0.0,0.0,5.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
2020-03-23,89708920609703517,7500,75.62,75693,1087,548,170.77,118.4421,23,12,47.8012,166.2433,29.7754,36.5245,75.3994,94.8821,110.3442,140.2666,141.8753,142.8638,143.9221,144.8249,145.7244,146.4766,147.1347,148.0352,148.3227,148.8795,149.6343,150.277,150.6339,150.9956,151.3064,151.7573,152.1238,152.4206,152.7944,152.9415,153.1622,153.4353,153.7346,159.2193,161.3845,0.0172,0.0424,0.112,0.0,8.0,12.0,18.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,5.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0
2019-11-07,89705461021313517,1533,17.52,2571,15,12,0.0,0.0,0,0,1.6122,1.6122,0.1098,0.5158,0.5396,0.7617,0.7878,0.8893,0.9945,1.0423,1.0548,1.1992,1.3069,1.3169,1.3222,1.3222,1.3222,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3277,1.3336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,89701377223703517,7500,75.47,32486,399,158,424.64,264.0637,36,11,29.0634,293.1271,69.1626,83.6666,105.4214,113.7117,150.2065,151.0084,155.0064,155.6901,156.7501,160.3291,161.3462,162.1824,162.6782,166.0981,166.5092,166.7739,167.1516,167.4645,170.8398,170.9882,171.3004,171.7484,171.9202,171.9655,172.3471,172.5535,172.8604,176.0435,206.0401,268.112,0.0,0.0143,0.0,0.0135,0.0,12.0,15.0,17.0,18.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0
